,Entity,Code,Year,Share of population covered by health insurance (ILO (2014)) (%)
0,Albania,ALB,2008,23.6
1,Algeria,DZA,2005,85.2
2,American Samoa,ASM,2009,3.0
3,Angola,AGO,2010,0.0
4,Antigua and Barbuda,ATG,2007,51.1
5,Argentina,ARG,2009,96.8
6,Armenia,ARM,2009,100.0
7,Aruba,ABW,2003,99.2
8,Australia,AUS,2011,100.0
9,Austria,AUT,2010,99.3
10,Azerbaijan,AZE,2006,2.9
11,Bahamas,BHS,1995,100.0
12,Bahrain,BHR,2010,100.0
13,Bangladesh,BGD,2003,1.4
14,Barbados,BRB,1995,100.0
15,Belarus,BLR,2010,100.0
16,Belgium,BEL,2010,99.0
17,Belize,BLZ,2009,25.0
18,Benin,BEN,2009,9.0
19,Bhutan,BTN,2009,90.0
20,Bolivia,BOL,2009,42.7
21,Bosnia and Herzegovina,BIH,2004,59.2
22,Brazil,BRA,2009,100.0
23,Brunei,BRN,2010,100.0
24,Bulgaria,BGR,2008,87.0
25,Burkina Faso,BFA,2010,1.0
26,Burundi,BDI,2009,28.4
27,Cambodia,KHM,2009,26.1
28,Cameroon,CMR,2009,2.0
29,Canada,CAN,2011,100.0
30,Central African Republic,CAF,2008,6.0
31,Chile,CHL,2011,93.1
32,China,CHN,2010,96.9
33,Colombia,COL,2010,87.7
34,Costa Rica,CRI,2009,100.0
35,Cote d'Ivoire,CIV,2008,1.2
36,Croatia,HRV,2009,97.0
37,Cuba,CUB,2010,100.0
38,Cyprus,CYP,2008,65.0
39,Czech Republic,CZE,2011,100.0
40,Democratic Republic of Congo,COD,2010,10.0
41,Denmark,DNK,2011,100.0
42,Djibouti,DJI,2006,30.0
43,Dominica,DMA,2009,13.4
44,Dominican Republic,DOM,2007,26.5
45,Ecuador,ECU,2009,22.8
46,Egypt,EGY,2008,51.1
47,El Salvador,SLV,2009,21.6
48,Estonia,EST,2011,92.9
49,Fiji,FJI,2010,100.0
50,Finland,FIN,2010,100.0
51,France,FRA,2011,99.9
52,Gabon,GAB,2010,57.6
53,Gambia,GMB,2011,99.9
54,Georgia,GEO,2008,25.0
55,Germany,DEU,2010,100.0
56,Ghana,GHA,2010,73.9
57,Greece,GRC,2010,100.0
58,Grenada,GRD,2007,7.4
59,Guatemala,GTM,2005,30.0
60,Guinea,GIN,2010,0.2
61,Guinea-Bissau,GNB,2009,1.6
62,Guyana,GUY,2009,23.8
63,Haiti,HTI,2001,3.1
64,Honduras,HND,2006,12.0
65,Hong Kong,HKG,2006,100.0
66,Hungary,HUN,2010,100.0
67,Iceland,ISL,2010,100.0
68,India,IND,2010,12.5
69,Indonesia,IDN,2010,59.0
70,Iran,IRN,2005,90.0
71,Ireland,IRL,2011,100.0
72,Israel,ISR,2011,100.0
73,Italy,ITA,2010,100.0
74,Jamaica,JAM,2007,20.1
75,Japan,JPN,2010,100.0
76,Jordan,JOR,2006,75.0
77,Kazakhstan,KAZ,2001,70.0
78,Kenya,KEN,2009,39.4
79,Kuwait,KWT,2006,100.0
80,Kyrgyzstan,KGZ,2001,83.0
81,Laos,LAO,2009,11.6
82,Latvia,LVA,2005,70.0
83,Lebanon,LBN,2007,48.3
84,Lesotho,LSO,2009,17.6
85,Liechtenstein,LIE,2008,95.0
86,Lithuania,LTU,2009,95.0
87,Luxembourg,LUX,2010,97.6
88,Macedonia,MKD,2006,94.9
89,Madagascar,MDG,2009,3.7
90,Malaysia,MYS,2010,100.0
91,Maldives,MDV,2011,30.0
92,Mali,MLI,2008,1.9
93,Malta,MLT,2009,100.0
94,Mauritania,MRT,2009,6.0
95,Mauritius,MUS,2010,100.0
96,Mexico,MEX,2010,85.6
97,Moldova,MDA,2004,75.7
98,Mongolia,MNG,2009,81.9
99,Montenegro,MNE,2004,95.0
100,Morocco,MAR,2007,42.3
101,Namibia,NAM,2007,28.0
102,Nepal,NPL,2010,0.1
103,Netherlands,NLD,2010,98.9
104,New Zealand,NZL,2011,100.0
105,Nicaragua,NIC,2005,12.2
106,Niger,NER,2003,3.1
107,Nigeria,NGA,2008,2.2
108,Norway,NOR,2011,100.0
109,Oman,OMN,2005,97.0
110,Pakistan,PAK,2009,26.6
111,Palestine,PSE,2004,16.2
112,Panama,PAN,2008,51.8
113,Paraguay,PRY,2009,23.6
114,Peru,PER,2010,64.4
115,Philippines,PHL,2009,82.0
116,Poland,POL,2010,97.5
117,Portugal,PRT,2010,100.0
118,Qatar,QAT,2006,100.0
119,Romania,ROU,2009,94.3
120,Russia,RUS,2011,88.0
121,Rwanda,RWA,2010,91.0
122,Saint Kitts and Nevis,KNA,2008,28.8
123,Saint Lucia,LCA,2003,35.5
124,Saint Vincent and the Grenadines,VCT,2008,9.4
125,Sao Tome and Principe,STP,2009,2.1
126,Senegal,SEN,2007,20.1
127,Serbia,SRB,2009,92.1
128,Sierra Leone,SLE,2008,0.0
129,Singapore,SGP,2010,100.0
130,Slovakia,SVK,2010,94.8
131,Slovenia,SVN,2011,100.0
132,South Africa,ZAF,2010,100.0
133,South Korea,KOR,2010,100.0
134,Spain,ESP,2010,99.2
135,Sri Lanka,LKA,2010,100.0
136,Sudan,SDN,2009,29.7
137,Swaziland,SWZ,2006,6.2
138,Sweden,SWE,2011,100.0
139,Switzerland,CHE,2010,100.0
140,Syria,SYR,2008,90.0
141,Taiwan,TWN,2010,99.6
142,Tajikistan,TJK,2010,0.3
143,Tanzania,TZA,2010,13.0
144,Thailand,THA,2007,98.0
145,Togo,TGO,2010,4.0
146,Tunisia,TUN,2005,80.0
147,Turkey,TUR,2011,86.0
148,Turkmenistan,TKM,2010,82.3
149,Uganda,UGA,2008,2.0
150,Ukraine,UKR,2011,100.0
151,United Arab Emirates,ARE,2011,100.0
152,United Kingdom,GBR,2010,100.0
153,United States,USA,2010,84.0
154,Uruguay,URY,2010,97.2
155,Uzbekistan,UZB,2010,100.0
156,Vanuatu,VUT,2010,100.0
157,Venezuela,VEN,2010,100.0
158,Vietnam,VNM,2010,61.0
159,Yemen,YEM,2003,42.0
160,Zambia,ZMB,2008,8.4
161,Zimbabwe,ZWE,2009,1.0
