,Country Name,Country Code,Indicator Name,Indicator Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017,2018
0,Aruba,ABW,Net migration,SM.POP.NETM,-4323.0,-4275.0,-3537.0,-5470.0,-1921.0,-5194.0,14218.0,6926.0,6263.0,-441.0,1253.0,1004.0,0.0
1,Afghanistan,AFG,Net migration,SM.POP.NETM,-20000.0,-20000.0,-20000.0,-1092462.0,-3318301.0,-1484185.0,2327473.0,-379474.0,929118.0,-777497.0,448007.0,-299999.0,0.0
2,Angola,AGO,Net migration,SM.POP.NETM,-135000.0,-226155.0,-80955.0,11455.0,234148.0,-151982.0,142811.0,-126955.0,172594.0,85286.0,87322.0,0.0,0.0
3,Albania,ALB,Net migration,SM.POP.NETM,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-443212.0,-179606.0,-176774.0,-217358.0,-93425.0,-40000.0,0.0
4,Andorra,AND,Net migration,SM.POP.NETM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Arab World,ARB,Net migration,SM.POP.NETM,-502251.0,-841024.0,-870418.0,1830706.0,562853.0,-594845.0,-510510.0,-1852228.0,-25472.0,4152627.0,608774.0,-544526.0,0.0
6,United Arab Emirates,ARE,Net migration,SM.POP.NETM,37882.0,53823.0,265100.0,387833.0,184159.0,261351.0,368126.0,484452.0,1161000.0,3331000.0,480000.0,301000.0,0.0
7,Argentina,ARG,Net migration,SM.POP.NETM,122001.0,130001.0,290000.0,-230001.0,139999.0,160002.0,29999.0,-80000.0,-90000.0,-84998.0,30000.0,24002.0,0.0
8,Armenia,ARM,Net migration,SM.POP.NETM,70335.0,103399.0,86404.0,17214.0,-51230.0,-67528.0,-496288.0,-223873.0,-160521.0,-183361.0,-30535.0,-24989.0,0.0
9,American Samoa,ASM,Net migration,SM.POP.NETM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,-1703.0,-1625.0,-2874.0,-3492.0,-8840.0,-7629.0,2617.0,4421.0,-282.0,-92.0,-56.0,-56.0,0.0
11,Australia,AUS,Net migration,SM.POP.NETM,382989.0,802781.0,264129.0,235744.0,456227.0,666233.0,351078.0,377552.0,575104.0,1122688.0,913107.0,849966.0,0.0
12,Austria,AUT,Net migration,SM.POP.NETM,15996.0,50401.0,82001.0,5502.0,18002.0,110999.0,227841.0,65082.0,178117.0,153763.0,267172.0,99999.0,0.0
13,Azerbaijan,AZE,Net migration,SM.POP.NETM,0.0,-40000.0,-50466.0,-50466.0,-101568.0,-161568.0,-115116.0,-111849.0,36524.0,53580.0,0.0,0.0,0.0
14,Burundi,BDI,Net migration,SM.POP.NETM,-84989.0,-57900.0,-260594.0,-150288.0,-139147.0,-150768.0,-302498.0,-445502.0,50869.0,102069.0,-70000.0,20000.0,0.0
15,Belgium,BEL,Net migration,SM.POP.NETM,38304.0,47288.0,70980.0,73523.0,18478.0,42556.0,106947.0,50870.0,219560.0,294270.0,258672.0,240000.0,0.0
16,Benin,BEN,Net migration,SM.POP.NETM,-24295.0,-23742.0,-24845.0,-19393.0,-10848.0,-8723.0,68259.0,-2851.0,25005.0,-48776.0,-42268.0,-10000.0,0.0
17,Burkina Faso,BFA,Net migration,SM.POP.NETM,-144723.0,-144723.0,-170263.0,-217400.0,-217400.0,-183699.0,-150001.0,-137499.0,-125000.0,-125000.0,-125000.0,-125000.0,0.0
18,Bangladesh,BGD,Net migration,SM.POP.NETM,-142378.0,-161822.0,-2977854.0,-1076732.0,-787467.0,-219363.0,-798161.0,-756121.0,-1541457.0,-3570954.0,-2526483.0,-2350001.0,0.0
19,Bulgaria,BGR,Net migration,SM.POP.NETM,-1437.0,-6423.0,-43396.0,-94868.0,-22346.0,-184143.0,-356464.0,-133824.0,-85500.0,-83742.0,-24472.0,-24001.0,0.0
20,Bahrain,BHR,Net migration,SM.POP.NETM,-4195.0,-8033.0,19123.0,48962.0,3234.0,12899.0,5480.0,39180.0,155500.0,272000.0,42000.0,235000.0,0.0
21,"Bahamas, The",BHS,Net migration,SM.POP.NETM,14357.0,14080.0,887.0,2791.0,180.0,-1099.0,-395.0,-3097.0,15483.0,14363.0,9672.0,5000.0,0.0
22,Bosnia and Herzegovina,BIH,Net migration,SM.POP.NETM,-50002.0,-96958.0,-82247.0,-74132.0,-29999.0,-134587.0,-726484.0,-159283.0,-6000.0,-59246.0,-161371.0,-2506.0,0.0
23,Belarus,BLR,Net migration,SM.POP.NETM,-125387.0,65585.0,37146.0,38298.0,47114.0,-23021.0,-63057.0,56146.0,-6382.0,63933.0,75799.0,10000.0,0.0
24,Belize,BLZ,Net migration,SM.POP.NETM,-2418.0,-2957.0,-10665.0,-13542.0,-5332.0,-5404.0,-9011.0,11909.0,5797.0,8722.0,7594.0,6832.0,0.0
25,Bermuda,BMU,Net migration,SM.POP.NETM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Bolivia,BOL,Net migration,SM.POP.NETM,-34003.0,-37001.0,-42998.0,-60007.0,-87002.0,-106998.0,-90997.0,-83002.0,-89995.0,-84003.0,-61794.0,-50005.0,0.0
27,Brazil,BRA,Net migration,SM.POP.NETM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15924.0,30000.0,0.0
28,Barbados,BRB,Net migration,SM.POP.NETM,-15903.0,-11880.0,-5433.0,-3595.0,-5589.0,-4077.0,-3263.0,-1323.0,-77.0,2050.0,2180.0,2072.0,0.0
29,Brunei Darussalam,BRN,Net migration,SM.POP.NETM,4889.0,9636.0,9768.0,7335.0,2933.0,2839.0,3868.0,3215.0,3347.0,-2089.0,2030.0,1760.0,0.0
30,Bhutan,BTN,Net migration,SM.POP.NETM,5000.0,10000.0,9999.0,10004.0,797.0,1595.0,-85887.0,143.0,29002.0,16829.0,10000.0,0.0,0.0
31,Botswana,BWA,Net migration,SM.POP.NETM,-15000.0,-6020.0,2326.0,14845.0,601.0,5803.0,17864.0,24546.0,21278.0,18730.0,15000.0,15000.0,0.0
32,Central African Republic,CAF,Net migration,SM.POP.NETM,11930.0,13145.0,-20075.0,4000.0,40165.0,-45000.0,50000.0,25000.0,-24405.0,-125614.0,-396129.0,-150000.0,0.0
33,Canada,CAN,Net migration,SM.POP.NETM,178066.0,608528.0,771526.0,438027.0,376129.0,875013.0,698764.0,761611.0,1026702.0,1229905.0,1145721.0,1100000.0,0.0
34,Central Europe and the Baltics,CEB,Net migration,SM.POP.NETM,81694.0,-200621.0,-123404.0,-129100.0,-321864.0,-657287.0,-1411284.0,-1035788.0,-804567.0,-993491.0,-553383.0,-243005.0,0.0
35,Switzerland,CHE,Net migration,SM.POP.NETM,276181.0,92978.0,25185.0,-135365.0,81040.0,130857.0,247406.0,65218.0,186125.0,344872.0,397267.0,250000.0,0.0
36,Channel Islands,CHI,Net migration,SM.POP.NETM,2934.0,3880.0,4250.0,1726.0,5380.0,6085.0,2120.0,3778.0,4592.0,4479.0,3654.0,3654.0,0.0
37,Chile,CHL,Net migration,SM.POP.NETM,-44994.0,-40584.0,-62525.0,-76611.0,-63513.0,-20953.0,13650.0,23454.0,37362.0,59383.0,80820.0,85285.0,0.0
38,China,CHN,Net migration,SM.POP.NETM,-1131180.0,-160289.0,-1081485.0,-47190.0,-200840.0,-420046.0,-764123.0,-383389.0,-2030083.0,-2390895.0,-1698448.0,-1624595.0,0.0
39,Cote d'Ivoire,CIV,Net migration,SM.POP.NETM,200000.0,200000.0,400000.0,420000.0,430000.0,325000.0,375000.0,180000.0,-370000.0,-220000.0,60000.0,30000.0,0.0
40,Cameroon,CMR,Net migration,SM.POP.NETM,0.0,-1000.0,-2500.0,0.0,-16500.0,-19500.0,-48000.0,-48000.0,-54000.0,-54000.0,-36000.0,-24000.0,0.0
41,"Congo, Dem. Rep.",COD,Net migration,SM.POP.NETM,122650.0,241910.0,27450.0,100685.0,-446860.0,74515.0,1302404.0,-1006384.0,-241564.0,-43426.0,15060.0,119303.0,0.0
42,"Congo, Rep.",COG,Net migration,SM.POP.NETM,0.0,500.0,6944.0,-7407.0,2098.0,2000.0,22530.0,49302.0,49674.0,95864.0,-60001.0,-20003.0,0.0
43,Colombia,COL,Net migration,SM.POP.NETM,-253998.0,-281000.0,-289998.0,-286998.0,-273997.0,-254001.0,-223998.0,-190000.0,-159003.0,-143000.0,-144998.0,-147004.0,0.0
44,Comoros,COM,Net migration,SM.POP.NETM,-8491.0,-5500.0,-5500.0,10000.0,-4500.0,-4500.0,-3000.0,-6000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0
45,Cabo Verde,CPV,Net migration,SM.POP.NETM,-1167.0,4267.0,-34907.0,-27982.0,-20313.0,-27757.0,-6376.0,-5438.0,-9859.0,-17623.0,-11052.0,-7392.0,0.0
46,Costa Rica,CRI,Net migration,SM.POP.NETM,7905.0,7827.0,12638.0,17425.0,18876.0,17417.0,69202.0,89527.0,41792.0,30339.0,19658.0,16384.0,0.0
47,Caribbean small states,CSS,Net migration,SM.POP.NETM,-261752.0,-298953.0,-281348.0,-271658.0,-272660.0,-343135.0,-223696.0,-207745.0,-159808.0,-142162.0,-120217.0,-119655.0,0.0
48,Cuba,CUB,Net migration,SM.POP.NETM,-205000.0,-250000.0,-190000.0,-160000.0,-270000.0,-69999.0,-120006.0,-132839.0,-145629.0,-178725.0,-73271.0,-109998.0,0.0
49,Curacao,CUW,Net migration,SM.POP.NETM,-7752.0,-4526.0,-5000.0,-13251.0,-8464.0,-14547.0,-11517.0,-17077.0,-6070.0,15363.0,6817.0,2573.0,0.0
50,Cayman Islands,CYM,Net migration,SM.POP.NETM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Cyprus,CYP,Net migration,SM.POP.NETM,-43025.0,-7843.0,3053.0,-1215.0,-27634.0,17167.0,43195.0,53260.0,57530.0,58658.0,22509.0,25001.0,0.0
52,Czech Republic,CZE,Net migration,SM.POP.NETM,24999.0,-129099.0,9999.0,9999.0,-52946.0,5671.0,29999.0,46002.0,47402.0,250889.0,59997.0,59997.0,0.0
53,Germany,DEU,Net migration,SM.POP.NETM,666962.0,867574.0,714153.0,228894.0,23.0,1714683.0,2659698.0,695914.0,804608.0,43087.0,1777126.0,1850000.0,0.0
54,Djibouti,DJI,Net migration,SM.POP.NETM,18000.0,25000.0,34997.0,91193.0,9999.0,89998.0,-45000.0,9988.0,-8997.0,-1499.0,6002.0,4501.0,0.0
55,Dominica,DMA,Net migration,SM.POP.NETM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Denmark,DNK,Net migration,SM.POP.NETM,2256.0,21866.0,23256.0,14925.0,9319.0,32839.0,65466.0,74568.0,46306.0,87989.0,106841.0,75998.0,0.0
57,Dominican Republic,DOM,Net migration,SM.POP.NETM,-43490.0,-56172.0,-70824.0,-87098.0,-118102.0,-134470.0,-144154.0,-150146.0,-152553.0,-153773.0,-153010.0,-151333.0,0.0
58,Algeria,DZA,Net migration,SM.POP.NETM,-284266.0,-121335.0,-247822.0,-224833.0,-81020.0,-93302.0,-128679.0,-164413.0,-205228.0,-357340.0,-143268.0,-50002.0,0.0
59,East Asia & Pacific (excluding high income),EAP,Net migration,SM.POP.NETM,-1290120.0,-871549.0,-1305615.0,-1526815.0,-700822.0,-657805.0,-2868246.0,-1160763.0,-5197875.0,-6826251.0,-3400344.0,-3408905.0,0.0
60,Early-demographic dividend,EAR,Net migration,SM.POP.NETM,-1277858.0,-2446016.0,-3543888.0,-5138430.0,1273870.0,-1999721.0,-7943535.0,-8427825.0,-13834276.0,-13852309.0,-11500387.0,-9215471.0,0.0
61,East Asia & Pacific,EAS,Net migration,SM.POP.NETM,-698627.0,1286960.0,-383013.0,-1115437.0,161499.0,318516.0,-1986386.0,-292173.0,-3492334.0,-4699823.0,-1248301.0,-1410154.0,0.0
62,Europe & Central Asia (excluding high income),ECA,Net migration,SM.POP.NETM,-129218.0,320904.0,-532711.0,-324113.0,-17283.0,-1485923.0,-3120912.0,-2624521.0,-504529.0,316293.0,1289728.0,1602472.0,0.0
63,Europe & Central Asia,ECS,Net migration,SM.POP.NETM,1216313.0,313930.0,1770947.0,1152439.0,519227.0,1059606.0,1736987.0,995887.0,7561840.0,7973917.0,5164543.0,6488515.0,0.0
64,Ecuador,ECU,Net migration,SM.POP.NETM,-9002.0,-5500.0,-5499.0,-7198.0,-14001.0,-16998.0,-19000.0,-69999.0,-120002.0,-44999.0,-38001.0,-30776.0,0.0
65,"Egypt, Arab Rep.",EGY,Net migration,SM.POP.NETM,-50100.0,-239700.0,-546796.0,-563569.0,-389781.0,-212184.0,-460404.0,-210899.0,-74464.0,-283573.0,-275026.0,-275000.0,0.0
66,Euro area,EMU,Net migration,SM.POP.NETM,846518.0,71860.0,2304989.0,1510813.0,719828.0,2468930.0,4312541.0,3014725.0,6731514.0,4671862.0,1929664.0,3318998.0,0.0
67,Eritrea,ERI,Net migration,SM.POP.NETM,6997.0,4999.0,10000.0,10000.0,10000.0,-40000.0,-400002.0,-70000.0,110001.0,-159999.0,-159999.0,-49999.0,0.0
68,Spain,ESP,Net migration,SM.POP.NETM,-193807.0,-145936.0,96990.0,76903.0,-43292.0,-67680.0,319270.0,905020.0,2838240.0,2259000.0,-570000.0,200000.0,0.0
69,Estonia,EST,Net migration,SM.POP.NETM,43228.0,41204.0,30581.0,30510.0,25900.0,15497.0,-111876.0,-1197.0,-18406.0,-15151.0,-10516.0,-4999.0,0.0
70,Ethiopia,ETH,Net migration,SM.POP.NETM,-19999.0,-42182.0,-59597.0,-1999798.0,250001.0,780074.0,1475274.0,-155577.0,-83182.0,-50132.0,-60001.0,-60001.0,0.0
71,European Union,EUU,Net migration,SM.POP.NETM,1054274.0,-126278.0,2204335.0,1393682.0,205535.0,1986242.0,3689846.0,2754173.0,7257129.0,6281070.0,2939221.0,4320989.0,0.0
72,Fragile and conflict affected situations,FCS,Net migration,SM.POP.NETM,-147913.0,-289212.0,-564877.0,130535.0,-4706426.0,-5417625.0,1590478.0,-2998454.0,-1917479.0,-3760919.0,-4783102.0,-2918749.0,0.0
73,Finland,FIN,Net migration,SM.POP.NETM,-64984.0,-97937.0,28880.0,-29377.0,26181.0,18268.0,47223.0,22154.0,31935.0,57558.0,81416.0,70000.0,0.0
74,Fiji,FJI,Net migration,SM.POP.NETM,2451.0,-9567.0,-12506.0,-20709.0,-11628.0,-66875.0,-35796.0,-42260.0,-61797.0,-28754.0,-28720.0,-20000.0,0.0
75,France,FRA,Net migration,SM.POP.NETM,1466682.0,416217.0,805181.0,146855.0,268131.0,481869.0,303416.0,382333.0,493125.0,536344.0,361722.0,400002.0,0.0
76,Faroe Islands,FRO,Net migration,SM.POP.NETM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"Micronesia, Fed. Sts.",FSM,Net migration,SM.POP.NETM,0.0,0.0,-7997.0,-548.0,0.0,-2461.0,-2234.0,-13618.0,-12850.0,-12132.0,-8192.0,-6000.0,0.0
78,Gabon,GAB,Net migration,SM.POP.NETM,9410.0,16188.0,2999.0,4999.0,4999.0,4999.0,4999.0,9566.0,30783.0,68720.0,85442.0,5000.0,0.0
79,United Kingdom,GBR,Net migration,SM.POP.NETM,142563.0,-84853.0,106415.0,39119.0,-97495.0,98758.0,205443.0,498998.0,968350.0,2030075.0,990000.0,900000.0,0.0
80,Georgia,GEO,Net migration,SM.POP.NETM,96284.0,85196.0,-73425.0,-95444.0,-47827.0,-43659.0,-544069.0,-366036.0,-277521.0,-299482.0,-305269.0,-50000.0,0.0
81,Ghana,GHA,Net migration,SM.POP.NETM,0.0,-361999.0,-164002.0,-563999.0,206001.0,-30003.0,-16285.0,-112636.0,165518.0,189259.0,-49999.0,-100000.0,0.0
82,Gibraltar,GIB,Net migration,SM.POP.NETM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Guinea,GIN,Net migration,SM.POP.NETM,-13857.0,-13857.0,-275000.0,-353000.0,-38000.0,162450.0,800000.0,-246148.0,-368004.0,-300000.0,-250000.0,-50000.0,0.0
84,"Gambia, The",GMB,Net migration,SM.POP.NETM,-3232.0,118.0,9392.0,-3380.0,19475.0,48392.0,-14801.0,-26418.0,-13742.0,-13742.0,-13476.0,-13000.0,0.0
85,Guinea-Bissau,GNB,Net migration,SM.POP.NETM,-20001.0,-7230.0,-14999.0,-79367.0,-30001.0,-28004.0,-29999.0,-58803.0,-39899.0,-25002.0,-10003.0,-9995.0,0.0
86,Equatorial Guinea,GNQ,Net migration,SM.POP.NETM,2999.0,5001.0,-70000.0,-29997.0,65001.0,20000.0,20004.0,35002.0,50003.0,80003.0,90001.0,79999.0,0.0
87,Greece,GRC,Net migration,SM.POP.NETM,-257899.0,-187126.0,20771.0,309665.0,100241.0,178887.0,464636.0,297431.0,113586.0,80157.0,-161799.0,49996.0,0.0
88,Grenada,GRD,Net migration,SM.POP.NETM,-8968.0,-9319.0,-11426.0,-12867.0,-288.0,-15001.0,-3923.0,-4912.0,-4132.0,-4274.0,-4274.0,-3497.0,0.0
89,Greenland,GRL,Net migration,SM.POP.NETM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Guatemala,GTM,Net migration,SM.POP.NETM,-10311.0,-41269.0,-137529.0,-258519.0,-283074.0,-299909.0,-367469.0,-402326.0,-281050.0,-114231.0,-50131.0,-46073.0,0.0
91,Guam,GUM,Net migration,SM.POP.NETM,-2905.0,-1442.0,-2131.0,-1511.0,109.0,99.0,1739.0,-4116.0,-9556.0,-9776.0,-7594.0,-2532.0,0.0
92,Guyana,GUY,Net migration,SM.POP.NETM,-14669.0,-42559.0,-54362.0,-52341.0,-97340.0,-102648.0,-57867.0,-80312.0,-64249.0,-55476.0,-27278.0,-24552.0,0.0
93,High income,HIC,Net migration,SM.POP.NETM,4348133.0,4605753.0,8028730.0,7362115.0,6980495.0,9035278.0,11110216.0,14216196.0,18128698.0,22333459.0,15916583.0,14628870.0,0.0
94,"Hong Kong SAR, China",HKG,Net migration,SM.POP.NETM,-27385.0,71590.0,73970.0,406637.0,160605.0,221262.0,156486.0,375683.0,64797.0,89747.0,74892.0,146542.0,0.0
95,Honduras,HND,Net migration,SM.POP.NETM,-29002.0,-41000.0,-45999.0,-50999.0,-61998.0,-73998.0,-77999.0,-64998.0,-41999.0,-24000.0,-15001.0,-14001.0,0.0
96,Heavily indebted poor countries (HIPC),HPC,Net migration,SM.POP.NETM,-331391.0,-322223.0,-1163002.0,-2980487.0,-4907160.0,-2527702.0,2721675.0,-2624944.0,-1306201.0,-3965036.0,-2838760.0,-2453870.0,0.0
97,Croatia,HRV,Net migration,SM.POP.NETM,1854.0,-1225.0,-18403.0,18681.0,54369.0,26145.0,-143579.0,-188129.0,-2580.0,-10499.0,-32772.0,-40000.0,0.0
98,Haiti,HTI,Net migration,SM.POP.NETM,-51997.0,-58003.0,-88000.0,-97999.0,-124999.0,-135001.0,-140001.0,-144998.0,-139999.0,-138004.0,-150000.0,-175000.0,0.0
99,Hungary,HUN,Net migration,SM.POP.NETM,21715.0,15731.0,-24419.0,13040.0,-115800.0,-91554.0,99980.0,78562.0,61589.0,25150.0,29999.0,29999.0,0.0
100,IBRD only,IBD,Net migration,SM.POP.NETM,-3710366.0,-3562542.0,-3012755.0,-4415354.0,-1355497.0,-4927499.0,-10145278.0,-8504371.0,-11408152.0,-10288496.0,-3237758.0,-5886312.0,0.0
101,IDA & IBRD total,IBT,Net migration,SM.POP.NETM,-4114324.0,-4226337.0,-7859798.0,-7620066.0,-6770284.0,-9223545.0,-11366624.0,-14561952.0,-18212513.0,-22259417.0,-15734793.0,-14456546.0,0.0
102,IDA total,IDA,Net migration,SM.POP.NETM,-403958.0,-663795.0,-4847043.0,-3204712.0,-5414787.0,-4296046.0,-1221346.0,-6057581.0,-6804361.0,-11970921.0,-12497035.0,-8570234.0,0.0
103,IDA blend,IDB,Net migration,SM.POP.NETM,100533.0,183472.0,-176691.0,1282874.0,588927.0,-371661.0,-1676525.0,-1701447.0,-1456447.0,-2465799.0,-2040210.0,-1704262.0,0.0
104,Indonesia,IDN,Net migration,SM.POP.NETM,-107486.0,-40261.0,-90360.0,-202747.0,-49566.0,-166738.0,-381823.0,-344962.0,-851310.0,-744715.0,-835000.0,-825000.0,0.0
105,IDA only,IDX,Net migration,SM.POP.NETM,-504491.0,-847267.0,-4670352.0,-4487586.0,-6003714.0,-3924385.0,455179.0,-4356134.0,-5347914.0,-9505122.0,-10456825.0,-6865972.0,0.0
106,Isle of Man,IMN,Net migration,SM.POP.NETM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,India,IND,Net migration,SM.POP.NETM,-85382.0,-345179.0,2143321.0,1157182.0,583096.0,45147.0,-552935.0,-716900.0,-1950910.0,-2913829.0,-2578213.0,-2449998.0,0.0
108,Not classified,INX,Net migration,SM.POP.NETM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Ireland,IRL,Net migration,SM.POP.NETM,-109734.0,-50860.0,37331.0,53058.0,-50745.0,-115193.0,-10648.0,83412.0,199949.0,198144.0,-139996.0,23497.0,0.0
110,"Iran, Islamic Rep.",IRN,Net migration,SM.POP.NETM,-7838.0,51755.0,77633.0,419996.0,2019420.0,1344377.0,-2096003.0,615293.0,-70307.0,-549266.0,-400001.0,-274998.0,0.0
111,Iraq,IRQ,Net migration,SM.POP.NETM,-1862.0,-6877.0,-8587.0,-47791.0,-199939.0,-630184.0,-154026.0,-17859.0,-266320.0,-457332.0,463665.0,39171.0,0.0
112,Iceland,ISL,Net migration,SM.POP.NETM,-732.0,-2757.0,-1061.0,-3929.0,260.0,646.0,-1054.0,1020.0,2940.0,12007.0,-2163.0,1900.0,0.0
113,Israel,ISR,Net migration,SM.POP.NETM,208759.0,72440.0,165879.0,62546.0,2604.0,65418.0,456923.0,245334.0,102935.0,273635.0,19497.0,50002.0,0.0
114,Italy,ITA,Net migration,SM.POP.NETM,-231607.0,-231781.0,19396.0,164927.0,266352.0,-10058.0,152825.0,223974.0,1624300.0,1006308.0,264145.0,350000.0,0.0
115,Jamaica,JAM,Net migration,SM.POP.NETM,-144764.0,-151557.0,-92857.0,-101213.0,-73916.0,-145996.0,-101198.0,-82801.0,-84638.0,-87395.0,-93096.0,-93000.0,0.0
116,Jordan,JOR,Net migration,SM.POP.NETM,35715.0,254352.0,-29706.0,-80758.0,81657.0,170602.0,412472.0,-150147.0,-93897.0,649997.0,975285.0,0.0,0.0
117,Japan,JPN,Net migration,SM.POP.NETM,-151351.0,819220.0,727596.0,205006.0,50002.0,-298339.0,46286.0,-100333.0,164199.0,277580.0,358133.0,250000.0,0.0
118,Kazakhstan,KAZ,Net migration,SM.POP.NETM,691681.0,173343.0,-128101.0,-412067.0,-429797.0,-656091.0,-1411744.0,-1324984.0,44530.0,-35196.0,159807.0,0.0,0.0
119,Kenya,KEN,Net migration,SM.POP.NETM,-20000.0,-19535.0,-17915.0,-2930.0,3805.0,5023.0,221569.0,-21386.0,25144.0,-189330.0,-50000.0,-50000.0,0.0
120,Kyrgyz Republic,KGZ,Net migration,SM.POP.NETM,103107.0,104185.0,-12065.0,-45839.0,-54162.0,-126883.0,-276249.0,-27268.0,-172911.0,-76604.0,-137902.0,-100001.0,0.0
121,Cambodia,KHM,Net migration,SM.POP.NETM,0.0,-249999.0,-125000.0,-84999.0,-88854.0,-78022.0,409414.0,348495.0,-35156.0,-295987.0,-149999.0,-149999.0,0.0
122,Kiribati,KIR,Net migration,SM.POP.NETM,-1219.0,-1274.0,-1500.0,-2576.0,-3112.0,-766.0,-4598.0,-2977.0,-2039.0,-578.0,-2130.0,-2126.0,0.0
123,St. Kitts and Nevis,KNA,Net migration,SM.POP.NETM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,"Korea, Rep.",KOR,Net migration,SM.POP.NETM,39834.0,-48644.0,-209905.0,-165144.0,93035.0,170623.0,71504.0,159339.0,81291.0,-156535.0,169634.0,200000.0,0.0
125,Kuwait,KWT,Net migration,SM.POP.NETM,137000.0,146600.0,95836.0,141100.0,115340.0,119768.0,-655000.0,242000.0,26500.0,479500.0,670000.0,100000.0,0.0
126,Latin America & Caribbean (excluding high income),LAC,Net migration,SM.POP.NETM,-1360209.0,-1796043.0,-2277692.0,-2781361.0,-3437015.0,-3753252.0,-3318745.0,-4736477.0,-5337998.0,-2319942.0,-1848874.0,-1731412.0,0.0
127,Lao PDR,LAO,Net migration,SM.POP.NETM,76.0,30.0,46.0,-198756.0,-35110.0,138.0,-60567.0,-134746.0,-148100.0,-110258.0,-177488.0,-73518.0,0.0
128,Lebanon,LBN,Net migration,SM.POP.NETM,20000.0,-70002.0,-10000.0,-270000.0,-214381.0,-228040.0,90000.0,-29428.0,550110.0,183370.0,1250000.0,-150000.0,0.0
129,Liberia,LBR,Net migration,SM.POP.NETM,7996.0,7996.0,10996.0,11949.0,0.0,-400000.0,-300000.0,450000.0,-50000.0,175585.0,-20000.0,-25000.0,0.0
130,Libya,LBY,Net migration,SM.POP.NETM,45891.0,48002.0,58665.0,57534.0,113380.0,5490.0,3965.0,-57368.0,-20569.0,-118555.0,-433403.0,-9997.0,0.0
131,St. Lucia,LCA,Net migration,SM.POP.NETM,-9372.0,-7697.0,-9649.0,-8932.0,-8141.0,-4262.0,-4806.0,-948.0,-227.0,2850.0,40.0,40.0,0.0
