,Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Country_Code
0,Afghanistan,-,-,-,-,-,-,-,2.5,-,1.8,1.5,1.3,1.4,1.52,8,8,12,11, AFG
1,Albania,-,2.3,-,-,2.5,2.5,2.5,2.4,2.6,2.9,3.4,3.2,3.3,3.05,33,31,33,36, ALB
2,Algeria,-,-,-,-,-,2.6,2.7,2.8,3.1,3,3.2,2.8,2.9,2.9,34,36,36,36, DZA
3,Angola,-,-,1.7,-,1.7,1.8,2,2,2.2,2.2,1.9,1.9,1.9,2.01,22,23,19,15, AGO
4,Argentina,3,3,3.5,3.5,2.8,2.5,2.5,2.8,2.9,2.9,2.9,2.9,2.9,3,35,34,34,32, ARG
5,Armenia,-,2.5,2.5,-,-,3,3.1,2.9,2.9,3,2.9,2.7,2.6,2.63,34,36,37,35, ARM
6,Australia,8.7,8.7,8.3,8.5,8.6,8.8,8.8,8.8,8.7,8.6,8.7,8.7,8.7,8.84,85,81,80,79, AUS
7,Austria,7.5,7.6,7.7,7.8,7.8,8,8.4,8.7,8.6,8.1,8.1,7.9,7.9,7.79,69,69,72,76, AUT
8,Azerbaijan,-,1.7,1.5,2,2,1.8,1.9,2.2,2.4,2.1,1.9,2.3,2.4,2.38,27,28,29,29, AZE
9,Bahamas,-,-,-,-,-,-,-,-,-,-,-,-,-,7.29,71,71,71,-, BHS
10,Bahrain,-,-,-,-,-,6.1,5.8,5.8,5.7,5,5.4,5.1,4.9,5.11,51,48,49,51, BHR
11,Bangladesh,-,-,-,0.4,1.2,1.3,1.5,1.7,2,2,2.1,2.4,2.4,2.66,26,27,25,25, BGD
12,Barbados,-,-,-,-,-,-,7.3,6.9,6.7,6.9,7,7.4,7.8,7.77,76,75,74,-, BRB
13,Belarus,3.9,3.4,4.1,-,4.8,4.2,3.3,2.6,2.1,2.1,2,2.4,2.5,2.42,31,29,31,32, BLR
14,Belgium,5.4,5.3,6.1,6.6,7.1,7.6,7.5,7.4,7.3,7.1,7.3,7.1,7.1,7.49,75,75,76,77, BEL
15,Belize,-,-,-,-,-,4.5,3.8,3.7,3.5,3,2.9,-,-,-,-,-,-,-, BLZ
16,Benin,-,-,-,-,-,-,3.2,2.9,2.5,2.7,3.1,2.9,2.8,2.97,36,36,39,37, BEN
17,Bhutan,-,-,-,-,-,-,-,-,6,5,5.2,5,5.7,5.74,63,63,65,65, BTN
18,Bolivia,2.8,2.5,2.7,2,2.2,2.3,2.2,2.5,2.7,2.9,3,2.7,2.8,2.76,34,34,35,34, BOL
19,Bosnia and Herzegovina,-,-,-,-,-,3.3,3.1,2.9,2.9,3.3,3.2,3,3.2,3.21,42,42,39,38, BIH
20,Botswana,6.1,6.1,6,6,6.4,5.7,6,5.9,5.6,5.4,5.8,5.6,5.8,6.08,65,64,63,63, BWA
21,Brazil,4,4.1,3.9,4,4,3.9,3.9,3.7,3.3,3.5,3.5,3.7,3.7,3.77,43,42,43,38, BRA
22,Brunei,-,-,-,-,-,-,-,-,-,-,-,5.5,5.5,5.21,55,60,-,-, BRN
23,Bulgaria,2.9,3.3,3.5,3.9,4,3.9,4.1,4,4,4.1,3.6,3.8,3.6,3.33,41,41,43,41, BGR
24,Burkina Faso,-,-,3,-,-,-,-,3.4,3.2,2.9,3.5,3.6,3.1,3.05,38,38,38,38, BFA
25,Burundi,-,-,-,-,-,-,-,2.3,2.4,2.5,1.9,1.8,1.8,1.94,19,21,20,21, BDI
26,Cambodia,-,-,-,-,-,-,-,2.3,2.1,2,1.8,2,2.1,2.11,22,20,21,21, KHM
27,Cameroon,1.4,1.5,2,2,2.2,1.8,2.1,2.2,2.3,2.4,2.3,2.2,2.2,2.45,26,25,27,27, CMR
28,Canada,9.2,9.2,9.2,8.9,9,8.7,8.5,8.4,8.5,8.7,8.7,8.7,8.9,8.67,84,81,81,83, CAN
29,Cape Verde,-,-,-,-,-,-,-,-,-,4.9,5.1,5.1,5.1,5.52,60,58,57,55, CPV
30,Central African Republic,-,-,-,-,-,-,-,-,2.4,2,2,2,2.1,2.21,26,25,24,24, CAF
31,Chad,-,-,-,-,-,-,1.7,1.7,2,1.8,1.6,1.6,1.7,2.04,19,19,22,22, TCD
32,Chile,6.8,6.9,7.4,7.5,7.5,7.4,7.4,7.3,7.3,7,6.9,6.7,7.2,7.21,72,71,73,70, CHL
33,China,3.5,3.4,3.1,3.5,3.5,3.4,3.4,3.2,3.3,3.5,3.6,3.6,3.5,3.64,39,40,36,37, CHN
34,Colombia,2.2,2.9,3.2,3.8,3.6,3.7,3.8,4,3.9,3.8,3.8,3.7,3.5,3.45,36,36,37,37, COL
35,Comoros,-,-,-,-,-,-,-,-,-,2.6,2.5,2.3,2.1,2.41,28,28,26,26, COM
36,Costa Rica,5.6,5.1,5.4,4.5,4.5,4.3,4.9,4.2,4.1,5,5.1,5.3,5.3,4.8,54,53,54,55, CRI
37,Croatia,-,2.7,3.7,3.9,3.8,3.7,3.5,3.4,3.4,4.1,4.4,4.1,4.1,4.03,46,48,48,51, HRV
38,Cuba,-,-,-,-,-,4.6,3.7,3.8,3.5,4.2,4.3,4.4,3.7,4.16,48,46,46,47, CUB
39,Cyprus,-,-,-,-,-,6.1,5.4,5.7,5.6,5.3,6.4,6.6,6.3,6.27,66,63,63,61, CYP
40,Czech Republic,4.8,4.6,4.3,3.9,3.7,3.9,4.2,4.3,4.8,5.2,5.2,4.9,4.6,4.37,49,48,51,56, CZE
41,Democratic Republic of the Congo,-,-,-,-,-,-,2,2.1,2,1.9,1.7,1.9,2,2.02,21,22,22,22, COD
42,Denmark,10,10,9.8,9.5,9.5,9.5,9.5,9.5,9.5,9.4,9.3,9.3,9.3,9.39,90,91,92,91, DNK
43,Djibouti,-,-,-,-,-,-,-,-,-,2.9,3,2.8,3.2,2.98,36,36,34,34, DJI
44,Dominica,-,-,-,-,-,-,-,-,4.5,5.6,6,5.9,5.2,5.17,58,58,58,-, DMA
45,Dominican Republic,-,-,-,3.1,3.5,3.3,2.9,3,2.8,3,3,3,3,2.59,32,29,32,33, DOM
46,Ecuador,2.3,2.4,2.6,2.3,2.2,2.2,2.4,2.5,2.3,2.1,2,2.2,2.5,2.65,32,35,33,32, ECU
47,Egypt,2.9,3.3,3.1,3.6,3.4,3.3,3.2,3.4,3.3,2.9,2.8,2.8,3.1,2.86,32,32,37,36, EGY
48,El Salvador,3.6,3.9,4.1,3.6,3.4,3.7,4.2,4.2,4,4,3.9,3.4,3.6,3.42,38,38,39,39, SLV
49,Equatorial Guinea,-,-,-,-,-,-,-,1.9,2.1,1.9,1.7,1.8,1.9,1.91,20,19,-,-, GNQ
50,Eritrea,-,-,-,-,-,-,2.6,2.6,2.9,2.8,2.6,2.6,2.6,2.48,25,20,18,18, ERI
51,Estonia,5.7,5.7,5.7,5.6,5.6,5.5,6,6.4,6.7,6.5,6.6,6.6,6.5,6.35,64,68,69,70, EST
52,Ethiopia,-,-,3.2,-,3.5,2.5,2.3,2.2,2.4,2.4,2.6,2.7,2.7,2.69,33,33,33,33, ETH
53,Fiji,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-, FJI
54,Finland,9.6,9.8,10,9.9,9.7,9.7,9.7,9.6,9.6,9.4,9,8.9,9.2,9.4,90,89,89,90, FIN
55,France,6.7,6.6,6.7,6.7,6.3,6.9,7.1,7.5,7.4,7.3,6.9,6.9,6.8,7.01,71,71,69,70, FRA
56,Gabon,-,-,-,-,-,-,3.3,2.9,3,3.3,3.1,2.9,2.8,2.98,35,34,37,34, GAB
57,Gambia,-,-,-,-,-,2.5,2.8,2.7,2.5,2.3,1.9,2.9,3.2,3.51,34,28,29,28, GMB
58,Georgia,-,2.3,-,-,2.4,1.8,2,2.3,2.8,3.4,3.9,4.1,3.8,4.13,52,49,52,52, GEO
59,Germany,7.9,8,7.6,7.4,7.3,7.7,8.2,8.2,8,7.8,7.9,8,7.9,8.05,79,78,79,81, DEU
60,Ghana,3.3,3.3,3.5,3.4,3.9,3.3,3.6,3.5,3.3,3.7,3.9,3.9,4.1,3.85,45,46,48,47, GHA
61,Greece,4.9,4.9,4.9,4.2,4.2,4.3,4.3,4.3,4.4,4.6,4.7,3.8,3.5,3.39,36,40,43,46, GRC
62,Grenada,-,-,-,-,-,-,-,-,3.5,3.4,-,-,-,-,-,-,-,-, GRD
63,Guatemala,3.1,3.2,-,2.9,2.5,2.4,2.2,2.5,2.6,2.8,3.1,3.4,3.2,2.73,33,29,32,28, GTM
64,Guinea,-,-,-,-,-,-,-,-,1.9,1.9,1.6,1.8,2,2.11,24,24,25,25, GIN
65,Guinea-Bissau,-,-,-,-,-,-,-,-,-,2.2,1.9,1.9,2.1,2.2,25,19,19,17, GNB
66,Guyana,-,-,-,-,-,-,-,2.5,2.5,2.6,2.6,2.6,2.7,2.49,28,27,30,29, GUY
67,Haiti,-,-,-,-,2.2,1.5,1.5,1.8,1.8,1.6,1.4,1.8,2.2,1.8,19,19,19,17, HTI
68,Honduras,1.7,1.8,-,2.7,2.7,2.3,2.3,2.6,2.5,2.5,2.6,2.5,2.4,2.59,28,26,29,31, HND
69,Hong Kong,7.8,7.7,7.7,7.9,8.2,8,8,8.3,8.3,8.3,8.1,8.2,8.4,8.39,77,75,74,75, HKG
70,Hungary,5,5.2,5.2,5.3,4.9,4.8,4.8,5,5.2,5.3,5.1,5.1,4.7,4.56,55,54,54,51, HUN
71,Iceland,9.3,9.2,9.1,9.2,9.4,9.6,9.5,9.7,9.6,9.2,8.9,8.7,8.5,8.27,82,78,79,79, ISL
72,India,2.9,2.9,2.8,2.7,2.7,2.8,2.8,2.9,3.3,3.5,3.4,3.4,3.3,3.1,36,36,38,38, IND
73,Indonesia,2,1.7,1.7,1.9,1.9,1.9,2,2.2,2.4,2.3,2.6,2.8,2.8,3.03,32,32,34,36, IDN
74,Iran,-,-,-,-,-,3,2.9,2.9,2.7,2.5,2.3,1.8,2.2,2.72,28,25,27,27, IRN
75,Iraq,-,-,-,-,-,2.2,2.1,2.2,1.9,1.5,1.3,1.5,1.5,1.8,18,16,16,16, IRQ
76,Ireland,8.2,7.7,7.2,7.5,6.9,7.5,7.5,7.4,7.4,7.5,7.7,8,8,7.54,69,72,74,75, IRL
77,Israel,7.1,6.8,6.6,7.6,7.3,7,6.4,6.3,5.9,6.1,6,6.1,6.1,5.81,60,61,60,61, ISR
78,Italy,4.6,4.7,4.6,5.5,5.2,5.3,4.8,5,4.9,5.2,4.8,4.3,3.9,3.91,42,43,43,44, ITA
79,Ivory Coast,3.1,2.6,2.7,2.4,2.7,2.1,2,1.9,2.1,2.1,2,2.1,2.2,2.23,29,27,32,32, CIV
80,Jamaica,3.8,3.8,-,-,4,3.8,3.3,3.6,3.7,3.3,3.1,3,3.3,3.34,38,38,38,41, JAM
81,Japan,5.8,6,6.4,7.1,7.1,7,6.9,7.3,7.6,7.5,7.3,7.7,7.8,8.04,74,74,76,75, JPN
82,Jordan,4.7,4.4,4.6,4.9,4.5,4.6,5.3,5.7,5.3,4.7,5.1,5,4.7,4.49,48,45,49,53, JOR
83,Kazakhstan,-,2.3,3,2.7,2.3,2.4,2.2,2.6,2.6,2.1,2.2,2.7,2.9,2.69,28,26,29,28, KAZ
84,Kenya,2.5,2,2.1,2,1.9,1.9,2.1,2.1,2.2,2.1,2.1,2.2,2.1,2.24,27,27,25,25, KEN
85,Kiribati,-,-,-,-,-,-,-,-,-,3.3,3.1,2.8,3.2,3.08,-,-,-,-, KIR
86,Kosovo,-,-,-,-,-,-,-,-,-,-,-,-,2.8,2.85,34,33,33,33, XKX
87,Kuwait,-,-,-,-,-,5.3,4.6,4.7,4.8,4.3,4.3,4.1,4.5,4.62,44,43,44,49, KWT
88,Kyrgyzstan,-,2.2,-,-,-,2.1,2.2,2.3,2.2,2.1,1.8,1.9,2,2.12,24,24,27,28, KGZ
89,Laos,-,-,-,-,-,-,-,3.3,2.6,1.9,2,2,2.1,2.21,21,26,25,25, LAO
90,Latvia,2.7,3.4,3.4,3.4,3.7,3.8,4,4.2,4.7,4.8,5,4.5,4.3,4.19,49,53,55,55, LVA
91,Lebanon,-,-,-,-,-,3,2.7,3.1,3.6,3,3,2.5,2.5,2.49,30,28,27,28, LBN
92,Lesotho,-,-,-,-,-,-,-,3.4,3.2,3.3,3.2,3.3,3.5,3.52,45,49,49,44, LSO
93,Liberia,-,-,-,-,-,-,-,2.2,-,2.1,2.4,3.1,3.3,3.19,41,38,37,37, LBR
94,Libya,-,-,-,-,-,2.1,2.5,2.5,2.7,2.5,2.6,2.5,2.2,2.01,21,15,18,16, LBY
95,Lithuania,-,3.8,4.1,4.8,4.8,4.7,4.6,4.8,4.8,4.8,4.6,4.9,5,4.75,54,57,58,61, LTU
96,Luxembourg,8.7,8.8,8.6,8.7,9,8.7,8.4,8.5,8.6,8.4,8.3,8.2,8.5,8.51,80,80,82,81, LUX
97,Macau,-,-,-,-,-,-,-,-,6.6,5.7,5.4,5.3,5,5.11,-,-,-,-, MAC
98,Macedonia,-,3.3,-,-,-,2.3,2.7,2.7,2.7,3.3,3.6,3.8,4.1,3.94,43,44,45,42, MKD
99,Madagascar,-,-,-,-,1.7,2.6,3.1,2.8,3.1,3.2,3.4,3,2.6,3.04,32,28,28,28, MDG
100,Malawi,4.1,4.1,4.1,3.2,2.9,2.8,2.8,2.8,2.7,2.7,2.8,3.3,3.4,3,37,37,33,31, MWI
101,Malaysia,5.3,5.1,4.8,5,4.9,5.2,5,5.1,5,5.1,5.1,4.5,4.4,4.31,49,50,52,50, MYS
102,Maldives,-,-,-,-,-,-,-,-,-,3.3,2.8,2.5,2.3,2.47,-,-,-,-, MDV
103,Mali,-,-,-,-,-,3,3.2,2.9,2.8,2.7,3.1,2.8,2.7,2.76,34,28,32,35, MLI
104,Malta,-,-,-,-,-,-,6.8,6.6,6.4,5.8,5.8,5.2,5.6,5.59,57,56,55,56, MLT
105,Mauritania,-,-,-,-,-,-,-,-,3.1,2.6,2.8,2.5,2.3,2.43,31,30,30,31, MRT
106,Mauritius,5,4.9,4.7,4.5,4.5,4.4,4.1,4.2,5.1,4.7,5.5,5.4,5.4,5.07,57,52,54,53, MUS
107,Mexico,3.3,3.4,3.3,3.7,3.6,3.6,3.6,3.5,3.3,3.5,3.6,3.3,3.1,2.97,34,34,35,35, MEX
108,Moldova,-,2.6,2.6,3.1,2.1,2.4,2.3,2.9,3.2,2.8,2.9,3.3,2.9,2.88,36,35,35,33, MDA
109,Mongolia,-,4.3,-,-,-,-,3,3,2.8,3,3,2.7,2.7,2.68,36,38,39,39, MNG
110,Montenegro,-,-,-,-,-,-,-,-,-,3.3,3.4,3.9,3.7,3.97,41,44,42,44, MNE
111,Morocco,3.7,4.1,4.7,-,3.7,3.3,3.2,3.2,3.2,3.5,3.5,3.3,3.4,3.44,37,37,39,36, MAR
112,Mozambique,-,3.5,2.2,-,-,2.7,2.8,2.8,2.8,2.8,2.6,2.5,2.7,2.69,31,30,31,31, MOZ
113,Myanmar,-,-,-,-,-,1.6,1.7,1.8,1.9,1.4,1.3,1.4,1.4,1.49,15,21,21,22, MMR
114,Namibia,5.3,5.3,5.4,5.4,5.7,4.7,4.1,4.3,4.1,4.5,4.5,4.5,4.4,4.43,48,48,49,53, NAM
115,Nepal,-,-,-,-,-,-,2.8,2.5,2.5,2.5,2.7,2.3,2.2,2.21,27,31,29,27, NPL
116,Netherlands,9,9,8.9,8.8,9,8.9,8.7,8.6,8.7,9,8.9,8.9,8.8,8.89,84,83,83,87, NLD
117,New Zealand,9.4,9.4,9.4,9.4,9.5,9.5,9.6,9.6,9.6,9.4,9.3,9.4,9.3,9.46,90,91,91,88, NZL
118,Nicaragua,3,3.1,-,2.4,2.5,2.6,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.53,29,28,28,27, NIC
119,Niger,-,-,-,-,-,-,2.2,2.4,2.3,2.6,2.8,2.9,2.6,2.54,33,34,35,34, NER
120,Nigeria,1.9,1.6,1.2,1,1.6,1.4,1.6,1.9,2.2,2.2,2.7,2.5,2.4,2.45,27,25,27,26, NGA
121,Norway,9,8.9,9.1,8.6,8.5,8.8,8.9,8.9,8.8,8.7,7.9,8.6,8.6,8.99,85,86,86,87, NOR
122,Oman,-,-,-,-,-,6.3,6.1,6.3,5.4,4.7,5.5,5.5,5.3,4.83,47,47,45,45, OMN
123,Pakistan,2.7,2.2,-,2.3,2.6,2.5,2.1,2.1,2.2,2.4,2.5,2.4,2.3,2.47,27,28,29,30, PAK
124,Palestine,-,-,-,-,-,3,2.5,2.6,-,-,-,-,-,-,-,-,-,-, PSE
125,Panama,-,-,-,3.7,3,3.4,3.7,3.5,3.1,3.2,3.4,3.4,3.6,3.27,38,35,37,39, PAN
126,Papua New Guinea,-,-,-,-,-,2.1,2.6,2.3,2.4,2,2,2.1,2.1,2.17,25,25,25,25, PNG
127,Paraguay,1.5,2,-,-,1.7,1.6,1.9,2.1,2.6,2.4,2.4,2.1,2.2,2.22,25,24,24,27, PRY
128,Peru,4.5,4.5,4.4,4.1,4,3.7,3.5,3.5,3.3,3.5,3.6,3.7,3.5,3.39,38,38,38,36, PER
129,Philippines,3.3,3.6,2.8,2.9,2.6,2.5,2.6,2.5,2.5,2.5,2.3,2.4,2.4,2.64,34,36,38,35, PHL
130,Poland,4.6,4.2,4.1,4.1,4,3.6,3.5,3.4,3.7,4.2,4.6,5,5.3,5.48,58,60,61,62, POL
131,Portugal,6.5,6.7,6.4,6.3,6.3,6.6,6.3,6.5,6.6,6.5,6.1,5.8,6,6.1,63,62,63,63, PRT
132,Puerto Rico,-,-,-,-,-,-,-,-,-,-,5.8,5.8,5.8,5.59,63,62,63,-, PRI
133,Qatar,-,-,-,-,-,5.6,5.2,5.9,6,6,6.5,7,7.7,7.16,68,68,69,71, QAT
134,Republic of the Congo,-,-,-,-,-,2.2,2.3,2.3,2.2,2.1,1.9,1.9,2.1,2.15,26,22,23,23, COG
135,Romania,3,3.3,2.9,2.8,2.6,2.8,2.9,3,3.1,3.7,3.8,3.8,3.7,3.61,44,43,43,46, ROU
136,Russia,2.4,2.4,2.1,2.3,2.7,2.7,2.8,2.4,2.5,2.3,2.1,2.2,2.1,2.45,28,28,27,29, RUS
137,Rwanda,-,-,-,-,-,-,-,3.1,2.5,2.8,3,3.3,4,4.98,53,53,49,54, RWA
138,Saint Lucia,-,-,-,-,-,-,-,-,-,6.8,7.1,7,-,7.02,71,71,-,-, LCA
139,Saint Vincent and the Grenadines,-,-,-,-,-,-,-,-,-,6.1,6.5,6.4,-,5.76,62,62,67,-, VCT
140,Samoa,-,-,-,-,-,-,-,-,-,4.5,4.4,4.5,4.1,3.88,-,-,52,-, WSM
141,Sao Tome and Principe,-,-,-,-,-,-,-,-,-,2.7,2.7,2.8,3,2.99,42,42,42,42, STP
142,Saudi Arabia,-,-,-,-,-,4.5,3.4,3.4,3.3,3.4,3.5,4.3,4.7,4.39,44,46,49,52, SAU
143,Senegal,3.3,3.4,3.5,2.9,3.1,3.2,3,3.2,3.3,3.6,3.4,3,2.9,2.87,36,41,43,44, SEN
144,Serbia,-,-,-,-,-,-,-,-,3,3.4,3.4,3.5,3.5,3.31,39,42,41,40, SRB
145,Seychelles,-,-,-,-,-,-,4.4,4,3.6,4.5,4.8,4.8,4.8,4.82,52,54,55,55, SYC
146,Sierra Leone,-,-,-,-,-,2.2,2.3,2.4,2.2,2.1,1.9,2.2,2.4,2.46,31,30,31,29, SLE
147,Singapore,9.1,9.1,9.1,9.2,9.3,9.4,9.3,9.4,9.4,9.3,9.2,9.2,9.3,9.17,87,86,84,85, SGP
148,Slovakia,3.9,3.7,3.5,3.7,3.7,3.7,4,4.3,4.7,4.9,5,4.5,4.3,3.97,46,47,50,51, SVK
149,Slovenia,-,6,5.5,5.2,6,5.9,6,6.1,6.4,6.6,6.7,6.6,6.4,5.87,61,57,58,60, SVN
150,Solomon Islands,-,-,-,-,-,-,-,-,-,2.8,2.9,2.8,2.8,2.71,-,-,-,-, SLB
151,Somalia,-,-,-,-,-,-,-,2.1,-,1.4,1,1.1,1.1,0.98,8,8,8,8, SOM
152,South Africa,5.2,5,5,4.8,4.8,4.4,4.6,4.5,4.6,5.1,4.9,4.7,4.5,4.08,43,42,44,44, ZAF
153,South Sudan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,15,15, SSD
154,Spain,6.1,6.6,7,7,7.1,6.9,7.1,7,6.8,6.7,6.5,6.1,6.1,6.23,65,59,60,58, ESP
155,Sri Lanka,-,-,-,-,3.7,3.4,3.5,3.2,3.1,3.2,3.2,3.1,3.2,3.3,40,37,38,37, LKA
156,Sudan,-,-,-,-,-,2.3,2.2,2.1,2,1.8,1.6,1.5,1.6,1.56,13,11,11,12, SDN
157,Suriname,-,-,-,-,-,-,4.3,3.2,3,3.5,3.6,3.7,-,3.03,37,36,36,36, SUR
158,Swaziland,-,-,-,-,-,-,-,2.7,2.5,3.3,3.6,3.6,3.2,3.08,37,39,43,-, SWZ
159,Sweden,9.5,9.4,9.4,9,9.3,9.3,9.2,9.2,9.2,9.3,9.3,9.2,9.2,9.3,88,89,87,89, SWE
160,Switzerland,8.9,8.9,8.6,8.4,8.5,8.8,9.1,9.1,9.1,9,9,9,8.7,8.8,86,85,86,86, CHE
161,Syria,-,-,-,-,-,3.4,3.4,3.4,2.9,2.4,2.1,2.6,2.5,2.56,26,17,20,18, SYR
162,Taiwan,5.3,5.6,5.5,5.9,5.6,5.7,5.6,5.9,5.9,5.7,5.7,5.6,5.8,6.14,61,61,61,62, TWN
163,Tajikistan,-,-,-,-,-,1.8,2,2.1,2.2,2.1,2,2,2.1,2.27,22,22,23,26, TJK
164,Tanzania,1.9,1.9,2.5,2.2,2.7,2.5,2.8,2.9,2.9,3.2,3,2.6,2.7,2.95,35,33,31,30, TZA
165,Thailand,3,3.2,3.2,3.2,3.2,3.3,3.6,3.8,3.6,3.3,3.5,3.4,3.5,3.38,37,35,38,38, THA
166,Togo,-,-,-,-,-,-,-,-,2.4,2.3,2.7,2.8,2.4,2.38,30,29,29,32, TGO
167,Tonga,-,-,-,-,-,-,-,-,-,1.7,2.4,3,3,3.14,-,-,-,-, TON
168,Trinidad and Tobago,-,-,-,5.3,4.9,4.6,4.2,3.8,3.2,3.4,3.6,3.6,3.6,3.17,39,38,38,39, TTO
169,Tunisia,5,5,5.2,5.3,4.8,4.9,5,4.9,4.6,4.2,4.4,4.2,4.3,3.76,41,41,40,38, TUN
170,Turkey,3.4,3.6,3.8,3.6,3.2,3.1,3.2,3.5,3.8,4.1,4.6,4.4,4.4,4.21,49,50,45,42, TUR
171,Turkmenistan,-,-,-,-,-,-,2,1.8,2.2,2,1.8,1.8,1.6,1.6,17,17,17,18, TKM
172,Uganda,2.6,2.2,2.3,1.9,2.1,2.2,2.6,2.5,2.7,2.8,2.6,2.5,2.5,2.43,29,26,26,25, UGA
173,Ukraine,2.8,2.6,1.5,2.1,2.4,2.3,2.2,2.6,2.8,2.7,2.5,2.2,2.4,2.3,26,25,26,27, UKR
174,United Arab Emirates,-,-,-,-,-,5.2,6.1,6.2,6.2,5.7,5.9,6.5,6.3,6.82,68,69,70,70, ARE
175,United Kingdom,8.7,8.6,8.7,8.3,8.7,8.7,8.6,8.6,8.6,8.4,7.7,7.7,7.6,7.78,74,76,78,81, GBR
176,United States,7.5,7.5,7.8,7.6,7.7,7.5,7.5,7.6,7.3,7.2,7.3,7.5,7.1,7.14,73,73,74,76, USA
177,Uruguay,4.3,4.4,-,5.1,5.1,5.5,6.2,5.9,6.4,6.7,6.9,6.7,6.9,7.04,72,73,73,74, URY
178,Uzbekistan,-,1.8,2.4,2.7,2.9,2.4,2.3,2.2,2.1,1.7,1.8,1.7,1.6,1.62,17,17,18,19, UZB
179,Vanuatu,-,-,-,-,-,-,-,-,-,3.1,2.9,3.2,3.6,3.53,-,-,-,-, VUT
180,Venezuela,2.3,2.6,2.7,2.8,2.5,2.4,2.3,2.3,2.3,2,1.9,1.9,2,1.89,19,20,19,17, VEN
181,Vietnam,2.5,2.6,2.5,2.6,2.4,2.4,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.86,31,31,31,31, VNM
182,Yemen,-,-,-,-,-,2.6,2.4,2.7,2.6,2.5,2.3,2.1,2.2,2.08,23,18,19,18, YEM
183,Zambia,3.5,3.5,3.4,2.6,2.6,2.5,2.6,2.6,2.6,2.6,2.8,3,3,3.2,37,38,38,38, ZMB
184,Zimbabwe,4.2,4.1,3,2.9,2.7,2.3,2.3,2.6,2.4,2.1,1.8,2.2,2.4,2.23,20,21,21,21, ZWE
